Time,"1INCH / Capitalization, market, current supply, USD","AAVE / Capitalization, market, current supply, USD","ADA / Capitalization, market, current supply, USD","ALGO / Capitalization, market, current supply, USD","ALPHA / Capitalization, market, current supply, USD","ANT / Capitalization, market, current supply, USD","BAL / Capitalization, market, current supply, USD","BAT / Capitalization, market, current supply, USD","BCH / Capitalization, market, current supply, USD","BNB / Capitalization, market, current supply, USD","BSV / Capitalization, market, current supply, USD","BTC / Capitalization, market, current supply, USD","BTG / Capitalization, market, current supply, USD","BUSD / Capitalization, market, current supply, USD","COMP / Capitalization, market, current supply, USD","CRO / Capitalization, market, current supply, USD","CRV / Capitalization, market, current supply, USD","CVC / Capitalization, market, current supply, USD","DAI / Capitalization, market, current supply, USD","DASH / Capitalization, market, current supply, USD","DCR / Capitalization, market, current supply, USD","DGB / Capitalization, market, current supply, USD","DOGE / Capitalization, market, current supply, USD","DOT / Capitalization, market, current supply, USD","DRGN / Capitalization, market, current supply, USD","ELF / Capitalization, market, current supply, USD","EOS_ETH / Capitalization, market, current supply, USD","ETC / Capitalization, market, current supply, USD","ETH / Capitalization, market, current supply, USD","FTT / Capitalization, market, current supply, USD","FUN / Capitalization, market, current supply, USD","GAS / Capitalization, market, current supply, USD","GNO / Capitalization, market, current supply, USD","GNT / Capitalization, market, current supply, USD","GRIN / Capitalization, market, current supply, USD","GUSD / Capitalization, market, current supply, USD","HBTC / Capitalization, market, current supply, USD","HEDG / Capitalization, market, current supply, USD","HT / Capitalization, market, current supply, USD","HUSD / Capitalization, market, current supply, USD","ICP / Capitalization, market, current supply, USD","KNC / Capitalization, market, current supply, USD","LEND / Capitalization, market, current supply, USD","LEO_EOS / Capitalization, market, current supply, USD","LEO_ETH / Capitalization, market, current supply, USD","LINK / Capitalization, market, current supply, USD","LOOM / Capitalization, market, current supply, USD","LPT / Capitalization, market, current supply, USD","LTC / Capitalization, market, current supply, USD","MAID / Capitalization, market, current supply, USD","MANA / Capitalization, market, current supply, USD","MATIC_ETH / Capitalization, market, current supply, USD","MKR / Capitalization, market, current supply, USD","NEO / Capitalization, market, current supply, USD","NXM / Capitalization, market, current supply, USD","OMG / Capitalization, market, current supply, USD","PAX / Capitalization, market, current supply, USD","PAXG / Capitalization, market, current supply, USD","PAY / Capitalization, market, current supply, USD","PERP / Capitalization, market, current supply, USD","POLY / Capitalization, market, current supply, USD","POWR / Capitalization, market, current supply, USD","PPT / Capitalization, market, current supply, USD","QASH / Capitalization, market, current supply, USD","QNT / Capitalization, market, current supply, USD","REN / Capitalization, market, current supply, USD","RENBTC / Capitalization, market, current supply, USD","REP / Capitalization, market, current supply, USD","REV_ETH / Capitalization, market, current supply, USD","SAI / Capitalization, market, current supply, USD","SNT / Capitalization, market, current supply, USD","SNX / Capitalization, market, current supply, USD","SRM / Capitalization, market, current supply, USD","SUSHI / Capitalization, market, current supply, USD","SWRV / Capitalization, market, current supply, USD","TRX / Capitalization, market, current supply, USD","TRX_ETH / Capitalization, market, current supply, USD","TUSD / Capitalization, market, current supply, USD","UMA / Capitalization, market, current supply, USD","UNI / Capitalization, market, current supply, USD","USDC / Capitalization, market, current supply, USD","USDK / Capitalization, market, current supply, USD","VTC / Capitalization, market, current supply, USD","WBTC / Capitalization, market, current supply, USD","WETH / Capitalization, market, current supply, USD","WNXM / Capitalization, market, current supply, USD","WTC / Capitalization, market, current supply, USD","XAUT / Capitalization, market, current supply, USD","XEM / Capitalization, market, current supply, USD","XLM / Capitalization, market, current supply, USD","XMR / Capitalization, market, current supply, USD","XRP / Capitalization, market, current supply, USD","XTZ / Capitalization, market, current supply, USD","XVG / Capitalization, market, current supply, USD","YFI / Capitalization, market, current supply, USD","ZEC / Capitalization, market, current supply, USD","ZRX / Capitalization, market, current supply, USD"
2010-07-18,,,,,,,,,,,,295959.152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-07-19,,,,,,,,,,,,279285.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-07-20,,,,,,,,,,,,259000.405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-07-21,,,,,,,,,,,,275266.4713,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-07-22,,,,,,,,,,,,203749.574,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-07-23,,,,,,,,,,,,211735.7238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-07-24,,,,,,,,,,,,191099.979,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-07-25,,,,,,,,,,,,177670.4898,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-07-26,,,,,,,,,,,,197542.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-07-27,,,,,,,,,,,,207278.6566,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-07-28,,,,,,,,,,,,208769.1518,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-07-29,,,,,,,,,,,,248340.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-07-30,,,,,,,,,,,,230303.1277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-07-31,,,,,,,,,,,,241276.9711,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-08-01,,,,,,,,,,,,218982.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-08-02,,,,,,,,,,,,215766,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-08-03,,,,,,,,,,,,216490.8334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
