DATE,1INCH,AAVE,ADA,ALGO,ALPHA,ANT,BAL,BAT,BCH,BNB,BSV,BTC,BTG,COMP,CRO,CRV,CVC,DASH,DCR,DGB,DOGE,DOT,DRGN,ELF,ETC,ETH,FTT,FUN,GAS,GNO,GNT,GRIN,HEDG,HT,ICP,KNC,LINK,LOOM,LPT,LTC,MAID,MANA,MKR,NEO,NXM,OMG,PAX,PAXG,PAY,PERP,POLY,POWR,PPT,QASH,QNT,REN,REP,SAI,SNT,SNX,SRM,SUSHI,SWRV,TRX,UMA,UNI,VTC,WNXM,WTC,XAUT,XEM,XLM,XMR,XRP,XTZ,XVG,YFI,ZEC,ZRX
2018-04-08,23,40,5,0,20,10,0,8,22,3,<1,21,17,7,0,4,31,13,38,12,1,8,63,0,1,8,0,23,15,0,5,0,0,8,1,17,5,0,0,29,63,1,3,19,33,2,0,0,0,0,20,4,17,51,4,0,8,22,29,4,0,0,25,26,0,0,23,0,65,0,11,19,100,6,6,45,0,40,10
2018-04-15,21,36,7,<1,27,5,0,17,33,4,1,19,21,0,0,3,23,14,63,24,1,8,100,0,1,8,0,25,11,0,3,0,0,13,0,17,5,0,0,29,37,<1,2,19,24,0,0,0,0,0,15,12,100,65,0,5,0,14,54,2,0,0,0,30,0,0,32,0,71,0,17,30,77,9,8,100,0,42,8
2018-04-22,24,34,6,<1,18,18,3,14,60,4,<1,18,22,3,0,4,25,18,82,20,1,8,93,0,1,9,0,22,13,21,0,0,0,11,1,36,5,12,0,30,50,2,2,19,11,2,0,0,0,0,9,38,55,84,3,5,12,26,30,5,0,0,0,55,3,0,24,0,97,0,12,27,77,8,9,28,2,49,14
2018-04-29,21,35,6,1,26,17,0,19,34,4,<1,16,16,2,0,6,29,14,40,29,1,7,92,0,2,10,<1,29,15,0,0,1,0,21,0,25,6,44,3,27,30,2,2,22,30,2,0,0,30,0,14,13,67,100,4,3,26,13,32,3,0,0,18,60,0,0,24,0,100,0,20,26,75,7,8,28,0,50,18
2018-05-06,21,36,4,1,14,12,0,8,33,3,1,16,15,5,<1,5,21,12,36,21,1,8,84,0,1,10,1,30,12,0,3,1,12,17,0,17,6,24,0,25,35,1,2,13,0,0,0,0,23,0,34,14,47,62,3,5,100,44,20,2,0,1,33,32,1,0,22,0,68,0,13,16,62,6,8,18,0,43,39
2018-05-13,20,35,4,<1,18,6,0,11,34,3,0,14,13,6,0,8,33,13,78,11,<1,8,58,0,1,8,<1,28,13,0,0,0,10,28,0,19,5,7,0,22,100,1,1,13,0,3,0,0,38,19,48,15,35,51,2,9,34,12,29,4,0,0,23,30,0,<1,17,0,69,0,12,13,56,6,11,14,0,100,28
2018-05-20,22,35,4,1,17,9,0,6,27,3,1,14,19,6,0,4,14,15,58,14,1,9,47,0,1,7,0,28,9,0,9,0,8,23,<1,9,4,0,0,20,92,1,2,11,0,0,0,0,31,16,26,26,12,71,7,5,19,54,17,3,7,<1,0,37,0,0,20,0,66,0,9,12,48,6,9,16,0,63,36
2018-05-27,22,36,4,1,15,7,0,4,22,2,0,12,14,7,0,11,30,10,50,15,<1,8,40,0,1,7,0,18,11,0,0,1,0,20,0,12,4,0,0,20,68,<1,3,11,17,1,0,0,72,0,13,7,31,61,0,0,16,0,17,0,0,0,0,38,0,0,14,0,43,0,7,14,48,6,16,10,0,42,21
2018-06-03,24,31,4,1,19,7,0,5,24,3,<1,13,14,4,0,4,16,11,16,14,<1,7,47,0,1,5,0,24,9,0,0,0,25,30,0,14,4,0,0,17,27,1,1,10,22,1,0,0,58,0,18,10,33,52,0,2,10,12,17,5,0,0,0,25,0,<1,15,0,55,0,9,10,48,6,13,9,0,39,11
2018-06-10,21,35,3,<1,17,0,0,7,22,2,0,16,13,4,0,0,20,10,51,9,<1,7,49,0,5,7,0,20,6,0,5,2,0,15,0,7,5,8,0,23,45,1,0,10,10,0,0,0,37,0,10,3,13,55,0,5,14,0,30,2,0,0,0,23,0,0,13,0,40,0,10,11,40,6,13,7,0,33,15
2018-06-17,19,32,3,<1,17,15,0,12,20,3,0,13,13,7,0,4,14,9,37,10,<1,6,32,0,3,5,0,24,8,0,4,1,16,11,0,9,4,7,0,20,0,1,0,7,23,0,0,0,62,0,16,5,39,51,0,4,22,0,16,0,0,1,0,25,0,0,12,0,23,0,9,5,39,5,16,6,0,36,15
