date,cryptocurrency_unscaled,cryptocurrency_monthly,isPartial,scale,cryptocurrency
2010-01-01,0,,,,
2010-01-02,0,,,,
2010-01-03,0,56.0,False,0.56,0.0
2010-01-04,0,56.0,,0.56,0.0
2010-01-05,0,56.0,,0.56,0.0
2010-01-06,0,56.0,,0.56,0.0
2010-01-07,0,56.0,,0.56,0.0
2010-01-08,0,56.0,,0.56,0.0
2010-01-09,39,56.0,,0.56,21.840000000000003
2010-01-10,0,55.0,False,0.55,0.0
2010-01-11,0,55.0,,0.55,0.0
2010-01-12,0,55.0,,0.55,0.0
2010-01-13,0,55.0,,0.55,0.0
2010-01-14,0,55.0,,0.55,0.0
2010-01-15,0,55.0,,0.55,0.0
2010-01-16,100,55.0,,0.55,55.00000000000001
2010-01-17,0,0.0,False,0.0,0.0
2010-01-18,77,0.0,,0.0,0.0
2010-01-19,0,0.0,,0.0,0.0
2010-01-20,94,0.0,,0.0,0.0
2010-01-21,0,0.0,,0.0,0.0
2010-01-22,0,0.0,,0.0,0.0
2010-01-23,0,0.0,,0.0,0.0
2010-01-24,0,0.0,False,0.0,0.0
2010-01-25,0,0.0,,0.0,0.0
2010-01-26,0,0.0,,0.0,0.0
2010-01-27,0,0.0,,0.0,0.0
2010-01-28,57,0.0,,0.0,0.0
2010-01-29,0,0.0,,0.0,0.0
2010-01-30,0,0.0,,0.0,0.0
2010-01-31,0,0.0,False,0.0,0.0
2010-02-01,54,0.0,,0.0,0.0
2010-02-02,0,0.0,,0.0,0.0
2010-02-03,0,0.0,,0.0,0.0
2010-02-04,0,0.0,,0.0,0.0
2010-02-05,0,0.0,,0.0,0.0
2010-02-06,91,0.0,,0.0,0.0
2010-02-07,0,0.0,False,0.0,0.0
2010-02-08,0,0.0,,0.0,0.0
2010-02-09,0,0.0,,0.0,0.0
2010-02-10,0,0.0,,0.0,0.0
2010-02-11,0,0.0,,0.0,0.0
2010-02-12,0,0.0,,0.0,0.0
2010-02-13,83,0.0,,0.0,0.0
2010-02-14,0,0.0,False,0.0,0.0
2010-02-15,44,0.0,,0.0,0.0
2010-02-16,100,0.0,,0.0,0.0
2010-02-17,0,0.0,,0.0,0.0
2010-02-18,0,0.0,,0.0,0.0
2010-02-19,0,0.0,,0.0,0.0
2010-02-20,0,0.0,,0.0,0.0
2010-02-21,0,0.0,False,0.0,0.0
2010-02-22,0,0.0,,0.0,0.0
2010-02-23,0,0.0,,0.0,0.0
2010-02-24,0,0.0,,0.0,0.0
2010-02-25,82,0.0,,0.0,0.0
2010-02-26,0,0.0,,0.0,0.0
2010-02-27,0,0.0,,0.0,0.0
2010-02-28,0,0.0,False,0.0,0.0
2010-03-01,0,0.0,,0.0,0.0
2010-03-02,0,0.0,,0.0,0.0
2010-03-03,0,0.0,,0.0,0.0
2010-03-04,0,0.0,,0.0,0.0
2010-03-05,0,0.0,,0.0,0.0
2010-03-06,0,0.0,,0.0,0.0
2010-03-07,48,72.0,False,0.72,34.56
2010-03-08,0,72.0,,0.72,0.0
2010-03-09,0,72.0,,0.72,0.0
2010-03-10,0,72.0,,0.72,0.0
2010-03-11,0,72.0,,0.72,0.0
2010-03-12,0,72.0,,0.72,0.0
2010-03-13,0,72.0,,0.72,0.0
2010-03-14,0,0.0,False,0.0,0.0
2010-03-15,46,0.0,,0.0,0.0
2010-03-16,61,0.0,,0.0,0.0
2010-03-17,0,0.0,,0.0,0.0
2010-03-18,0,0.0,,0.0,0.0
2010-03-19,0,0.0,,0.0,0.0
2010-03-20,85,0.0,,0.0,0.0
2010-03-21,0,0.0,False,0.0,0.0
2010-03-22,0,0.0,,0.0,0.0
2010-03-23,0,0.0,,0.0,0.0
2010-03-24,40,0.0,,0.0,0.0
2010-03-25,0,0.0,,0.0,0.0
2010-03-26,0,0.0,,0.0,0.0
2010-03-27,100,0.0,,0.0,0.0
2010-03-28,0,0.0,False,0.0,0.0
2010-03-29,0,0.0,,0.0,0.0
2010-03-30,0,0.0,,0.0,0.0
2010-03-31,52,0.0,,0.0,0.0
2010-04-01,0,0.0,,0.0,0.0
2010-04-02,0,0.0,,0.0,0.0
2010-04-03,75,0.0,,0.0,0.0
2010-04-04,0,0.0,False,0.0,0.0
2010-04-05,0,0.0,,0.0,0.0
2010-04-06,0,0.0,,0.0,0.0
2010-04-07,67,0.0,,0.0,0.0
2010-04-08,0,0.0,,0.0,0.0
2010-04-09,86,0.0,,0.0,0.0
2010-04-10,69,0.0,,0.0,0.0
2010-04-11,0,0.0,False,0.0,0.0
2010-04-12,0,0.0,,0.0,0.0
2010-04-13,0,0.0,,0.0,0.0
2010-04-14,65,0.0,,0.0,0.0
2010-04-15,0,0.0,,0.0,0.0
2010-04-16,0,0.0,,0.0,0.0
2010-04-17,0,0.0,,0.0,0.0
2010-04-18,0,72.0,False,0.72,0.0
2010-04-19,0,72.0,,0.72,0.0
2010-04-20,0,72.0,,0.72,0.0
2010-04-21,77,72.0,,0.72,55.44
2010-04-22,0,72.0,,0.72,0.0
2010-04-23,100,72.0,,0.72,72.0
2010-04-24,0,72.0,,0.72,0.0
2010-04-25,0,0.0,False,0.0,0.0
2010-04-26,96,0.0,,0.0,0.0
2010-04-27,0,0.0,,0.0,0.0
2010-04-28,0,0.0,,0.0,0.0
2010-04-29,0,0.0,,0.0,0.0
2010-04-30,0,0.0,,0.0,0.0
2010-05-01,0,0.0,,0.0,0.0
2010-05-02,0,0.0,False,0.0,0.0
2010-05-03,0,0.0,,0.0,0.0
2010-05-04,0,0.0,,0.0,0.0
2010-05-05,0,0.0,,0.0,0.0
2010-05-06,0,0.0,,0.0,0.0
2010-05-07,0,0.0,,0.0,0.0
2010-05-08,0,0.0,,0.0,0.0
2010-05-09,0,0.0,False,0.0,0.0
2010-05-10,0,0.0,,0.0,0.0
2010-05-11,0,0.0,,0.0,0.0
2010-05-12,0,0.0,,0.0,0.0
2010-05-13,0,0.0,,0.0,0.0
2010-05-14,30,0.0,,0.0,0.0
2010-05-15,100,0.0,,0.0,0.0
2010-05-16,0,0.0,False,0.0,0.0
2010-05-17,0,0.0,,0.0,0.0
2010-05-18,93,0.0,,0.0,0.0
2010-05-19,0,0.0,,0.0,0.0
2010-05-20,0,0.0,,0.0,0.0
2010-05-21,0,0.0,,0.0,0.0
2010-05-22,0,0.0,,0.0,0.0
2010-05-23,0,0.0,False,0.0,0.0
2010-05-24,0,0.0,,0.0,0.0
2010-05-25,0,0.0,,0.0,0.0
2010-05-26,0,0.0,,0.0,0.0
2010-05-27,0,0.0,,0.0,0.0
2010-05-28,0,0.0,,0.0,0.0
2010-05-29,0,0.0,,0.0,0.0
2010-05-30,46,0.0,False,0.0,0.0
2010-05-31,0,0.0,,0.0,0.0
2010-06-01,0,0.0,,0.0,0.0
2010-06-02,0,0.0,,0.0,0.0
2010-06-03,0,0.0,,0.0,0.0
2010-06-04,0,0.0,,0.0,0.0
2010-06-05,0,0.0,,0.0,0.0
2010-06-06,0,74.0,False,0.74,0.0
2010-06-07,0,74.0,,0.74,0.0
2010-06-08,40,74.0,,0.74,29.6
2010-06-09,0,74.0,,0.74,0.0
2010-06-10,0,74.0,,0.74,0.0
2010-06-11,0,74.0,,0.74,0.0
2010-06-12,0,74.0,,0.74,0.0
2010-06-13,0,0.0,False,0.0,0.0
2010-06-14,0,0.0,,0.0,0.0
2010-06-15,0,0.0,,0.0,0.0
2010-06-16,0,0.0,,0.0,0.0
2010-06-17,52,0.0,,0.0,0.0
2010-06-18,0,0.0,,0.0,0.0
2010-06-19,0,0.0,,0.0,0.0
2010-06-20,63,0.0,False,0.0,0.0
2010-06-21,0,0.0,,0.0,0.0
2010-06-22,0,0.0,,0.0,0.0
2010-06-23,0,0.0,,0.0,0.0
2010-06-24,0,0.0,,0.0,0.0
2010-06-25,0,0.0,,0.0,0.0
2010-06-26,65,0.0,,0.0,0.0
2010-06-27,100,74.0,False,0.74,74.0
2010-06-28,0,74.0,,0.74,0.0
2010-06-29,0,74.0,,0.74,0.0
2010-06-30,0,74.0,,0.74,0.0
2010-07-01,0,74.0,,0.74,0.0
2010-07-02,0,74.0,,0.74,0.0
2010-07-03,0,74.0,,0.74,0.0
2010-07-04,0,40.0,False,0.4,0.0
2010-07-05,0,40.0,,0.4,0.0
2010-07-06,0,40.0,,0.4,0.0
2010-07-07,0,40.0,,0.4,0.0
2010-07-08,0,40.0,,0.4,0.0
2010-07-09,0,40.0,,0.4,0.0
2010-07-10,0,40.0,,0.4,0.0
2010-07-11,0,0.0,False,0.0,0.0
2010-07-12,0,0.0,,0.0,0.0
2010-07-13,0,0.0,,0.0,0.0
2010-07-14,0,0.0,,0.0,0.0
2010-07-15,0,0.0,,0.0,0.0
2010-07-16,0,0.0,,0.0,0.0
2010-07-17,0,0.0,,0.0,0.0
2010-07-18,0,100.0,False,1.0,0.0
2010-07-19,0,100.0,,1.0,0.0
2010-07-20,0,100.0,,1.0,0.0
2010-07-21,0,100.0,,1.0,0.0
2010-07-22,0,100.0,,1.0,0.0
2010-07-23,0,100.0,,1.0,0.0
2010-07-24,0,100.0,,1.0,0.0
2010-07-25,0,0.0,False,0.0,0.0
2010-07-26,0,0.0,,0.0,0.0
2010-07-27,0,0.0,,0.0,0.0
2010-07-28,0,0.0,,0.0,0.0
2010-07-29,0,0.0,,0.0,0.0
2010-07-30,0,0.0,,0.0,0.0
2010-07-31,100,0.0,,0.0,0.0
2010-08-01,0,42.0,False,0.42,0.0
2010-08-02,0,42.0,,0.42,0.0
